CREATION_DATE            =      2018-05-27T21:56:05
ORIGINATOR               =      ASTOS SOLUTIONS GMBH

META_START
TYPE			 =	FAMILY
NAME FIRST PRIMARY       =      Earth
MASS FIRST PRIMARY       =      5.972370e+24
NAME SECOND PRIMARY      =      Moon
MASS SECOND PRIMARY      =      7.342000e+22
PRIMARY DISTANCE         =      3.844020e+08
MASS RATIO               =      0.0121439878
LAGRANGIAN               =      L1
ORBIT NUMBER             =      709
ORBIT DISTANCE           =      0.001000
META_STOP

DATA_START
        JC           Period           x              z            dy/dt
   3.0814835022   2.7598655780   0.8354770392  -0.1421462158   0.2525114481
   3.0803812666   2.7576521304   0.8357164244  -0.1431182630   0.2531706362
   3.0792777921   2.7553178184   0.8359606242  -0.1440891877   0.2538171579
   3.0781731891   2.7528578581   0.8362098664  -0.1450589127   0.2544506249
   3.0770675715   2.7502672269   0.8364643930  -0.1460273538   0.2550706351
   3.0759610682   2.7475407588   0.8367244618  -0.1469944196   0.2556767256
   3.0748538155   2.7446730987   0.8369903451  -0.1479600097   0.2562684108
   3.0737459526   2.7416585593   0.8372623320  -0.1489240149   0.2568451952
   3.0726376384   2.7384913168   0.8375407291  -0.1498863159   0.2574065151
   3.0715290393   2.7351652699   0.8378258603  -0.1508467819   0.2579517878
   3.0704203377   2.7316740993   0.8381180685  -0.1518052704   0.2584803816
   3.0693117299   2.7280112025   0.8384177157  -0.1527616252   0.2589916279
   3.0682034376   2.7241698818   0.8387251828  -0.1537156752   0.2594847856
   3.0670956955   2.7201430740   0.8390408717  -0.1546672340   0.2599590870
   3.0659887741   2.7159237310   0.8393652009  -0.1556160967   0.2604136711
   3.0648829329   2.7115039391   0.8396986217  -0.1565620410   0.2608477286
   3.0637785110   2.7068764621   0.8400415897  -0.1575048191   0.2612602419
   3.0626758349   2.7020332051   0.8403945933  -0.1584441662   0.2616502541
   3.0615752963   2.6969663858   0.8407581324  -0.1593797881   0.2620166594
   3.0604773027   2.6916677707   0.8411327318  -0.1603113671   0.2623583451
   3.0593823232   2.6861294155   0.8415189258  -0.1612385538   0.2626740796
   3.0582908548   2.6803430830   0.8419172703  -0.1621609714   0.2629626054
   3.0572034510   2.6743007068   0.8423283301  -0.1630782073   0.2632225842
   3.0561207158   2.6679943606   0.8427526794  -0.1639898157   0.2634526136
   3.0550433181   2.6614165922   0.8431908904  -0.1648953143   0.2636512095
   3.0539719477   2.6545593589   0.8436435605  -0.1657941864   0.2638169110
   3.0529074228   2.6474166325   0.8441112339  -0.1666858645   0.2639480908
   3.0518505689   2.6399820630   0.8445944718  -0.1675697658   0.2640431509
   3.0508022811   2.6322498421   0.8450938203  -0.1684452549   0.2641004797
   3.0497635469   2.6242158497   0.8456097651  -0.1693116561   0.2641184126
   3.0487353893   2.6158768582   0.8461427637  -0.1701682779   0.2640953006
   3.0477188785   2.6072304834   0.8466932316  -0.1710143941   0.2640295550
   3.0467151588   2.5982764776   0.8472615000  -0.1718492504   0.2639196009
   3.0457253868   2.5890157897   0.8478478443  -0.1726720936   0.2637639551
