CREATION_DATE        =      2018-05-21T13:44:47
ORIGINATOR           =      ASTOS SOLUTIONS GMBH

META_START
LAGRANGIAN           =      L1
ORBIT NUMBER         =      10000
ORBIT DISTANCE       =      0.000100
MASS RATIO           =      0.0121439878
META_STOP

DATA_START

        JC           Period           x              z            dy/dt
   2.9543612433   2.1078639582   0.9307631641  -0.2825823255   0.0818416222
   2.9542761313   2.1083586275   0.9307469978  -0.2826810168   0.0818369664
   2.9541910231   2.1088530444   0.9307308079  -0.2827797014   0.0818323599
   2.9541059131   2.1093472820   0.9307145754  -0.2828783821   0.0818278452
   2.9540208058   2.1098412905   0.9306983115  -0.2829770559   0.0818233978
   2.9539356990   2.1103350885   0.9306820130  -0.2830757244   0.0818190243
   2.9538505933   2.1108286730   0.9306656800  -0.2831743873   0.0818147246
   2.9537654887   2.1113220439   0.9306493127  -0.2832730444   0.0818104984
   2.9536803850   2.1118152009   0.9306329110  -0.2833716959   0.0818063457
   2.9535952824   2.1123081438   0.9306164752  -0.2834703417   0.0818022661
   2.9535101807   2.1128008725   0.9306000052  -0.2835689817   0.0817982595
   2.9534250801   2.1132933866   0.9305835011  -0.2836676161   0.0817943257
   2.9533399804   2.1137856859   0.9305669630  -0.2837662448   0.0817904646
   2.9532548817   2.1142777703   0.9305503910  -0.2838648678   0.0817866759
   2.9531697840   2.1147696395   0.9305337851  -0.2839634850   0.0817829595
   2.9530846886   2.1152612655   0.9305171543  -0.2840620966   0.0817792947
   2.9529995915   2.1157527107   0.9305004808  -0.2841607040   0.0817757218
   2.9529144966   2.1162439326   0.9304837740  -0.2842593042   0.0817722208
   2.9528294025   2.1167349414   0.9304670326  -0.2843578987   0.0817687933
   2.9527443096   2.1172257305   0.9304502587  -0.2844564874   0.0817654352
   2.9526592162   2.1177163311   0.9304334426  -0.2845550705   0.0817621683
   2.9525741262   2.1182066807   0.9304166021  -0.2846536465   0.0817589526
   2.9524890358   2.1186968210   0.9303997280  -0.2847522183   0.0817558076
   2.9524039472   2.1191867285   0.9303828257  -0.2848507843   0.0817527217
   2.9523188580   2.1196764367   0.9303658857  -0.2849493455   0.0817497164
   2.9522337703   2.1201659233   0.9303489129  -0.2850479003   0.0817467811
   2.9521486834   2.1206551945   0.9303319064  -0.2851464494   0.0817439174
   2.9520635974   2.1211442472   0.9303148670  -0.2852449926   0.0817411237
   2.9519785122   2.1216330820   0.9302977947  -0.2853435302   0.0817383997
   2.9518934279   2.1221216992   0.9302806895  -0.2854420622   0.0817357457
   2.9518083444   2.1226100972   0.9302635517  -0.2855405884   0.0817331607
   2.9517232617   2.1230982768   0.9302463813  -0.2856391089   0.0817306448
   2.9516381798   2.1235862376   0.9302291783  -0.2857376238   0.0817281980
   2.9515530987   2.1240739795   0.9302119428  -0.2858361329   0.0817258201
   2.9514680184   2.1245615023   0.9301946749  -0.2859346364   0.0817235108
   2.9513829388   2.1250488057   0.9301773745  -0.2860331342   0.0817212701
   2.9512978595   2.1255359004   0.9301600384  -0.2861316263   0.0817191058
   2.9512127820   2.1260227617   0.9301426736  -0.2862301122   0.0817170016
   2.9511277047   2.1265094062   0.9301252766  -0.2863285930   0.0817149654
   2.9510426281   2.1269958307   0.9301078474  -0.2864270680   0.0817129970
   2.9509575523   2.1274820350   0.9300903862  -0.2865255374   0.0817110964
   2.9508724772   2.1279680189   0.9300728930  -0.2866240012   0.0817092632
   2.9507874028   2.1284537824   0.9300553679  -0.2867224592   0.0817074974
   2.9507023281   2.1289393437   0.9300378049  -0.2868209116   0.0817058127
   2.9506172565   2.1294246513   0.9300202193  -0.2869193572   0.0817041743
   2.9505321836   2.1299097684   0.9300025981  -0.2870177988   0.0817026098
   2.9504471120   2.1303946477   0.9299849460  -0.2871162341   0.0817011118
   2.9503620411   2.1308793032   0.9299672633  -0.2872146637   0.0816996779
   2.9502769706   2.1313637411   0.9299495480  -0.2873130879   0.0816983127
   2.9501919008   2.1318479565   0.9299318013  -0.2874115063   0.0816970137
   2.9501068317   2.1323319502   0.9299140232  -0.2875099189   0.0816957808
   2.9500217631   2.1328157219   0.9298962138  -0.2876083260   0.0816946137
   2.9499366952   2.1332992715   0.9298783731  -0.2877067273   0.0816935123
   2.9498516310   2.1337825425   0.9298605207  -0.2878051230   0.0816924314
   2.9497665612   2.1342656647   0.9298426171  -0.2879035165   0.0816914608
   2.9496814951   2.1347485465   0.9298246830  -0.2880019008   0.0816905554
   2.9495964295   2.1352312062   0.9298067180  -0.2881002795   0.0816897150
   2.9495113644   2.1357136431   0.9297887219  -0.2881986525   0.0816889396
   2.9494262999   2.1361958570   0.9297706950  -0.2882970199   0.0816882290
   2.9493412359   2.1366778479   0.9297526372  -0.2883953816   0.0816875830
   2.9492561712   2.1371596405   0.9297345405  -0.2884937377   0.0816870203
   2.9491711095   2.1376411774   0.9297164215  -0.2885920866   0.0816865030
   2.9490860466   2.1381225072   0.9296982687  -0.2886904314   0.0816860566
   2.9490009851   2.1386036021   0.9296800882  -0.2887887700   0.0816856677
   2.9489159236   2.1390844758   0.9296618770  -0.2888871035   0.0816853426
   2.9488308626   2.1395651255   0.9296436354  -0.2889854313   0.0816850813
   2.9487458020   2.1400455513   0.9296253634  -0.2890837534   0.0816848834
   2.9486607419   2.1405257528   0.9296070610  -0.2891820699   0.0816847490
   2.9485756822   2.1410057301   0.9295887283  -0.2892803807   0.0816846778
   2.9484906230   2.1414854831   0.9295703654  -0.2893786860   0.0816846697
   2.9484055642   2.1419650114   0.9295519724  -0.2894769855   0.0816847244
   2.9483205057   2.1424443152   0.9295335492  -0.2895752794   0.0816848420
   2.9482354477   2.1429233941   0.9295150959  -0.2896735677   0.0816850222
   2.9481503901   2.1434022482   0.9294966127  -0.2897718504   0.0816852649
   2.9480653341   2.1438808526   0.9294781077  -0.2898701274   0.0816855511
   2.9479802758   2.1443592638   0.9294595644  -0.2899684003   0.0816859180
   2.9478952193   2.1448374420   0.9294409916  -0.2900666660   0.0816863471
   2.9478101631   2.1453153952   0.9294223890  -0.2901649261   0.0816868380
   2.9477251072   2.1457931229   0.9294037568  -0.2902631806   0.0816873906
   2.9476400515   2.1462706276   0.9293850940  -0.2903614294   0.0816880069
   2.9475549964   2.1467479033   0.9293664024  -0.2904596725   0.0816886827
   2.9474699414   2.1472249540   0.9293476813  -0.2905579101   0.0816894198
   2.9473848867   2.1477017788   0.9293289307  -0.2906561421   0.0816902181
   2.9472998323   2.1481783775   0.9293101507  -0.2907543684   0.0816910774
   2.9472147782   2.1486547502   0.9292913413  -0.2908525891   0.0816919976
