CREATION_DATE            =      2018-05-27T22:26:32
ORIGINATOR               =      ASTOS SOLUTIONS GMBH

META_START
NAME FIRST PRIMARY       =      Earth
MASS FIRST PRIMARY       =      5.972370e+24
NAME SECOND PRIMARY      =      Moon
MASS SECOND PRIMARY      =      7.342000e+22
PRIMARY DISTANCE         =      3.844020e+08
MASS RATIO               =      0.0121439878
LAGRANGIAN               =      L2
ORBIT NUMBER             =      321
ORBIT DISTANCE           =      0.001000
META_STOP

DATA_START
        JC           Period           x              z            dy/dt
   3.0407542783   1.7627223244   1.0407768368  -0.1925538812  -0.1406256666
   3.0411596172   1.7501307111   1.0398648223  -0.1921368416  -0.1389622565
   3.0415757431   1.7376264213   1.0389559340  -0.1917129201  -0.1372892177
   3.0420026259   1.7252092300   1.0380502350  -0.1912821219  -0.1356067750
   3.0424402340   1.7128789138   1.0371477868  -0.1908444549  -0.1339151521
   3.0428885433   1.7006351451   1.0362486496  -0.1903999200  -0.1322145727
   3.0433474145   1.6884786525   1.0353528881  -0.1899486363  -0.1305053230
   3.0438171412   1.6764056415   1.0344605075  -0.1894902818  -0.1287874198
   3.0442975095   1.6644189371   1.0335717381  -0.1890250512  -0.1270614725
   3.0447886097   1.6525162193   1.0326865486  -0.1885528342  -0.1253275372
   3.0452904971   1.6406967625   1.0318050662  -0.1880735535  -0.1235859763
   3.0458031201   1.6289608644   1.0309274046  -0.1875872465  -0.1218371419
   3.0463266247   1.6173062900   1.0300536166  -0.1870937506  -0.1200812508
   3.0468609879   1.6057333161   1.0291838684  -0.1865930745  -0.1183187752
   3.0474063895   1.5942394832   1.0283182337  -0.1860850274  -0.1165499823
   3.0479628106   1.5828252025   1.0274569044  -0.1855696196  -0.1147753987
   3.0485304071   1.5714882826   1.0265999594  -0.1850466931  -0.1129953181
   3.0491093020   1.5602275085   1.0257475816  -0.1845161210  -0.1112102599
   3.0496995450   1.5490423230   1.0248999418  -0.1839778565  -0.1094207317
   3.0503013570   1.5379302028   1.0240571658  -0.1834316898  -0.1076271282
   3.0509148208   1.5268905610   1.0232194893  -0.1828775462  -0.1058301122
   3.0515401120   1.5159214213   1.0223870682  -0.1823152701  -0.1040301732
   3.0521774668   1.5050205271   1.0215601186  -0.1817446494  -0.1022279326
   3.0528269393   1.4941876684   1.0207389049  -0.1811656545  -0.1004241403
   3.0534888327   1.4834194959   1.0199235738  -0.1805780264  -0.0986192870
   3.0541633008   1.4727150179   1.0191144426  -0.1799816491  -0.0968142518
   3.0548506502   1.4620712690   1.0183117383  -0.1793762732  -0.0950097162
   3.0555509700   1.4514878432   1.0175157987  -0.1787618590  -0.0932066438
   3.0562645471   1.4409617278   1.0167268150  -0.1781381967  -0.0914056661
   3.0569918142   1.4304891947   1.0159451211  -0.1775049393  -0.0896077275
   3.0577326275   1.4200724543   1.0151711798  -0.1768622854  -0.0878141346
   3.0584877143   1.4097036089   1.0144050232  -0.1762096542  -0.0860251580
   3.0592568520   1.3993864694   1.0136473475  -0.1755473196  -0.0842426682
   3.0600407934   1.3891127317   1.0128981393  -0.1748747071  -0.0824668589
   3.0608394983   1.3788845424   1.0121581445  -0.1741919385  -0.0806997327
   3.0616532772   1.3686982683   1.0114275097  -0.1734988628  -0.0789419221
   3.0624823956   1.3585517683   1.0107066450  -0.1727953650  -0.0771946701
   3.0633272678   1.3484414917   1.0099959476  -0.1720812101  -0.0754591928
DATA_STOP
